file,File,for loops,while loops,do-while loops,total,File,for/loops,while/loops,do-while/loops,total
editor/plugins/resource_preloader_editor_plugin.c,editor/plugins/resource_preloader_editor_plugin.c,14,23,38,37,editor/plugins/resource_preloader_editor_plugin.c,14,23,38,75
servers/extensions/physics_server_2d_extension.c,servers/extensions/physics_server_2d_extension.c,12,23,83,35,servers/extensions/physics_server_2d_extension.c,13,23,83,119
scene/gui/texture_progress_bar.c,scene/gui/texture_progress_bar.c,6,5,15,11,scene/gui/texture_progress_bar.c,8,5,15,28
thirdparty/icu4c/common/udataswp.c,thirdparty/icu4c/common/udataswp.c,1,0,5,1,thirdparty/icu4c/common/udataswp.c,3,0,5,8
thirdparty/embree/kernels/bvh/bvh_builder_morton.c,thirdparty/embree/kernels/bvh/bvh_builder_morton.c,19,48,104,67,thirdparty/embree/kernels/bvh/bvh_builder_morton.c,19,48,104,171
editor/plugins/text_shader_editor.c,editor/plugins/text_shader_editor.c,37,41,112,78,editor/plugins/text_shader_editor.c,37,41,112,190
editor/fbx_importer_manager.c,editor/fbx_importer_manager.c,13,4,17,17,editor/fbx_importer_manager.c,13,4,17,34
thirdparty/harfbuzz/src/hb-ot-layout.c,thirdparty/harfbuzz/src/hb-ot-layout.c,30,214,610,244,thirdparty/harfbuzz/src/hb-ot-layout.c,43,213,607,863
scene/main/resource_preloader.c,scene/main/resource_preloader.c,3,9,33,12,scene/main/resource_preloader.c,4,9,33,46
thirdparty/jolt_physics/jolt/physics/collision/shape/sphereshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/SphereShape.c,3,0,4,3,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/SphereShape.c,3,0,4,7
thirdparty/miniupnpc/src/miniwget.c,thirdparty/miniupnpc/src/miniwget.c,0,7,8,7,thirdparty/miniupnpc/src/miniwget.c,1,7,8,16
thirdparty/jolt_physics/jolt/physics/body/massproperties.c,thirdparty/jolt_physics/Jolt/Physics/Body/MassProperties.c,0,1,12,1,thirdparty/jolt_physics/Jolt/Physics/Body/MassProperties.c,0,1,12,13
platform/macos/export/export_plugin.c,platform/macos/export/export_plugin.c,6,14,64,20,platform/macos/export/export_plugin.c,11,14,64,89
modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,7,7,37,14,modules/godot_physics_2d/godot_broad_phase_2d_bvh.c,9,7,37,53
thirdparty/libtheora/x86/mmxidct.c,thirdparty/libtheora/x86/mmxidct.c,0,0,1,0,thirdparty/libtheora/x86/mmxidct.c,2,0,1,3
thirdparty/embree/kernels/bvh/bvh4_factory.c,thirdparty/embree/kernels/bvh/bvh4_factory.c,32,0,0,32,thirdparty/embree/kernels/bvh/bvh4_factory.c,105,0,0,105
scene/animation/animation_tree.c,scene/animation/animation_tree.c,12,75,102,87,scene/animation/animation_tree.c,12,75,102,189
modules/gdscript/gdscript_tokenizer.c,modules/gdscript/gdscript_tokenizer.c,1,12,48,13,modules/gdscript/gdscript_tokenizer.c,6,12,48,66
editor/plugins/texture_3d_editor_plugin.c,editor/plugins/texture_3d_editor_plugin.c,12,4,12,16,editor/plugins/texture_3d_editor_plugin.c,12,4,12,28
thirdparty/openxr/src/loader/runtime_interface.c,thirdparty/openxr/src/loader/runtime_interface.c,12,15,40,27,thirdparty/openxr/src/loader/runtime_interface.c,18,15,40,73
thirdparty/harfbuzz/src/hb-ot-font.c,thirdparty/harfbuzz/src/hb-ot-font.c,19,83,229,102,thirdparty/harfbuzz/src/hb-ot-font.c,21,83,229,333
thirdparty/jolt_physics/jolt/physics/collision/shape/compoundshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,16,3,18,19,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/CompoundShape.c,16,3,18,37
editor/plugins/mesh_instance_3d_editor_plugin.c,editor/plugins/mesh_instance_3d_editor_plugin.c,20,12,34,32,editor/plugins/mesh_instance_3d_editor_plugin.c,20,12,34,66
modules/jolt_physics/shapes/jolt_custom_ray_shape.c,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,0,0,7,0,modules/jolt_physics/shapes/jolt_custom_ray_shape.c,2,0,7,9
servers/rendering/shader_preprocessor.c,servers/rendering/shader_preprocessor.c,6,33,81,39,servers/rendering/shader_preprocessor.c,24,33,81,138
modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,0,0,3,0,modules/jolt_physics/joints/jolt_generic_6dof_joint_3d.c,6,0,3,9
servers/register_server_types.c,servers/register_server_types.c,69,30,230,99,servers/register_server_types.c,69,30,230,329
scene/3d/spring_bone_simulator_3d.c,scene/3d/spring_bone_simulator_3d.c,10,19,47,29,scene/3d/spring_bone_simulator_3d.c,12,19,47,78
scene/resources/syntax_highlighter.c,scene/resources/syntax_highlighter.c,11,19,56,30,scene/resources/syntax_highlighter.c,11,19,56,86
thirdparty/jolt_physics/jolt/renderer/debugrenderersimple.c,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererSimple.c,1,1,3,2,thirdparty/jolt_physics/Jolt/Renderer/DebugRendererSimple.c,2,1,3,6
thirdparty/libktx/lib/basis_transcode.c,thirdparty/libktx/lib/basis_transcode.c,2,2,20,4,thirdparty/libktx/lib/basis_transcode.c,8,2,20,30
thirdparty/zstd/common/xxhash.c,thirdparty/zstd/common/xxhash.c,1,0,8,1,thirdparty/zstd/common/xxhash.c,2,0,8,10
scene/3d/node_3d.c,scene/3d/node_3d.c,9,5,24,14,scene/3d/node_3d.c,11,5,24,40
servers/rendering/renderer_rd/effects/ss_effects.c,servers/rendering/renderer_rd/effects/ss_effects.c,9,6,135,15,servers/rendering/renderer_rd/effects/ss_effects.c,9,6,135,150
editor/animation_track_editor.c,editor/animation_track_editor.c,80,139,549,219,editor/animation_track_editor.c,80,139,549,768
core/object/script_instance.c,core/object/script_instance.c,0,0,3,0,core/object/script_instance.c,1,0,3,4
thirdparty/jolt_physics/jolt/physics/vehicle/vehicletransmission.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleTransmission.c,0,0,1,0,thirdparty/jolt_physics/Jolt/Physics/Vehicle/VehicleTransmission.c,0,0,1,1
thirdparty/freetype/src/winfonts/winfnt.c,thirdparty/freetype/src/winfonts/winfnt.c,2,1,3,3,thirdparty/freetype/src/winfonts/winfnt.c,3,1,3,7
thirdparty/astcenc/astcenc_image.c,thirdparty/astcenc/astcenc_image.c,0,1,14,1,thirdparty/astcenc/astcenc_image.c,1,1,14,16
editor/debugger/editor_visual_profiler.c,editor/debugger/editor_visual_profiler.c,14,18,38,32,editor/debugger/editor_visual_profiler.c,14,18,38,70
editor/plugins/animation_blend_tree_editor_plugin.c,editor/plugins/animation_blend_tree_editor_plugin.c,35,52,121,87,editor/plugins/animation_blend_tree_editor_plugin.c,35,52,121,208
modules/multiplayer/scene_replication_interface.c,modules/multiplayer/scene_replication_interface.c,8,69,159,77,modules/multiplayer/scene_replication_interface.c,11,68,157,236
thirdparty/jolt_physics/jolt/physics/softbody/softbodyshape.c,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodyShape.c,13,4,7,17,thirdparty/jolt_physics/Jolt/Physics/SoftBody/SoftBodyShape.c,15,4,7,26
scene/2d/physics/collision_object_2d.c,scene/2d/physics/collision_object_2d.c,14,35,47,49,scene/2d/physics/collision_object_2d.c,14,35,47,96
editor/export/project_export.c,editor/export/project_export.c,28,39,66,67,editor/export/project_export.c,28,39,66,133
editor/create_dialog.c,editor/create_dialog.c,20,51,117,71,editor/create_dialog.c,20,51,117,188
thirdparty/jolt_physics/jolt/physics/physicsupdatecontext.c,thirdparty/jolt_physics/Jolt/Physics/PhysicsUpdateContext.c,0,1,11,1,thirdparty/jolt_physics/Jolt/Physics/PhysicsUpdateContext.c,1,1,11,13
thirdparty/embree/kernels/common/rtcore_builder.c,thirdparty/embree/kernels/common/rtcore_builder.c,42,79,169,121,thirdparty/embree/kernels/common/rtcore_builder.c,42,79,169,290
scene/3d/xr_hand_modifier_3d.c,scene/3d/xr_hand_modifier_3d.c,4,4,24,8,scene/3d/xr_hand_modifier_3d.c,10,4,24,38
thirdparty/libpng/pngwrite.c,thirdparty/libpng/pngwrite.c,3,2,19,5,thirdparty/libpng/pngwrite.c,4,2,19,25
scene/resources/2d/tile_set.c,scene/resources/2d/tile_set.c,117,238,707,355,scene/resources/2d/tile_set.c,173,238,704,1115
modules/navigation/editor/navigation_mesh_editor_plugin.c,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,11,modules/navigation/editor/navigation_mesh_editor_plugin.c,9,2,4,15
thirdparty/freetype/src/cff/cff.c,thirdparty/freetype/src/cff/cff.c,23,15,45,38,thirdparty/freetype/src/cff/cff.c,29,15,45,89
thirdparty/basis_universal/encoder/basisu_frontend.c,thirdparty/basis_universal/encoder/basisu_frontend.c,79,91,526,170,thirdparty/basis_universal/encoder/basisu_frontend.c,79,91,526,696
editor/debugger/editor_profiler.c,editor/debugger/editor_profiler.c,15,34,81,49,editor/debugger/editor_profiler.c,15,34,81,130
thirdparty/jolt_physics/jolt/geometry/convexhullbuilder.c,thirdparty/jolt_physics/Jolt/Geometry/ConvexHullBuilder.c,10,17,50,27,thirdparty/jolt_physics/Jolt/Geometry/ConvexHullBuilder.c,12,17,50,79
editoreditor_node.c,editoreditor_node.c,104,168,426,272,editoreditor_node.c,104,168,426,698
editor/script_create_dialog.c,editor/script_create_dialog.c,19,14,33,33,editor/script_create_dialog.c,19,14,33,66
thirdparty/jolt_physics/jolt/physics/collision/shape/shape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/Shape.c,33,24,56,57,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/Shape.c,35,24,56,115
servers/audio/audio_effect.c,servers/audio/audio_effect.c,5,2,18,7,servers/audio/audio_effect.c,6,2,18,26
thirdparty/icu4c/i18n/scriptset.c,thirdparty/icu4c/i18n/scriptset.c,3,3,19,6,thirdparty/icu4c/i18n/scriptset.c,4,3,19,26
core/io/plist.c,core/io/plist.c,7,5,34,12,core/io/plist.c,8,5,34,47
editor/plugins/polygon_2d_editor_plugin.c,editor/plugins/polygon_2d_editor_plugin.c,40,21,43,61,editor/plugins/polygon_2d_editor_plugin.c,40,21,43,104
thirdparty/jolt_physics/jolt/physics/vehicle/motorcyclecontroller.c,thirdparty/jolt_physics/Jolt/Physics/Vehicle/MotorcycleController.c,1,1,3,2,thirdparty/jolt_physics/Jolt/Physics/Vehicle/MotorcycleController.c,1,1,3,5
thirdparty/embree/kernels/bvh/bvh_builder_sah.c,thirdparty/embree/kernels/bvh/bvh_builder_sah.c,8,24,35,32,thirdparty/embree/kernels/bvh/bvh_builder_sah.c,41,24,35,100
scene/2d/physics/animatable_body_2d.c,scene/2d/physics/animatable_body_2d.c,9,2,12,11,scene/2d/physics/animatable_body_2d.c,9,2,12,23
modules/godot_physics_2d/godot_joints_2d.c,modules/godot_physics_2d/godot_joints_2d.c,1,0,1,1,modules/godot_physics_2d/godot_joints_2d.c,2,0,1,3
thirdparty/libwebp/src/dsp/ssim_sse2.c,thirdparty/libwebp/src/dsp/ssim_sse2.c,0,0,2,0,thirdparty/libwebp/src/dsp/ssim_sse2.c,3,0,2,5
thirdparty/embree/kernels/common/device.c,thirdparty/embree/kernels/common/device.c,0,15,14,15,thirdparty/embree/kernels/common/device.c,2,15,14,31
editor/import/dynamic_font_import_settings.c,editor/import/dynamic_font_import_settings.c,29,30,74,59,editor/import/dynamic_font_import_settings.c,29,30,74,133
modules/basis_universal/image_compress_basisu.c,modules/basis_universal/image_compress_basisu.c,14,3,33,17,modules/basis_universal/image_compress_basisu.c,16,3,33,52
thirdparty/harfbuzz/src/hb-subset-cff2.c,thirdparty/harfbuzz/src/hb-subset-cff2.c,18,34,177,52,thirdparty/harfbuzz/src/hb-subset-cff2.c,28,34,177,239
thirdparty/libwebp/src/dec/buffer_dec.c,thirdparty/libwebp/src/dec/buffer_dec.c,1,0,0,1,thirdparty/libwebp/src/dec/buffer_dec.c,3,0,0,3
core/os/os.c,core/os/os.c,5,11,61,16,core/os/os.c,7,11,61,79
editor/plugins/gradient_editor_plugin.c,editor/plugins/gradient_editor_plugin.c,19,21,34,40,editor/plugins/gradient_editor_plugin.c,19,21,34,74
modules/minimp3/audio_stream_mp3.c,modules/minimp3/audio_stream_mp3.c,18,10,90,28,modules/minimp3/audio_stream_mp3.c,18,10,90,118
core/config/project_settings.c,core/config/project_settings.c,31,81,219,112,core/config/project_settings.c,37,81,219,337
servers/rendering/renderer_rd/cluster_builder_rd.c,servers/rendering/renderer_rd/cluster_builder_rd.c,0,4,20,4,servers/rendering/renderer_rd/cluster_builder_rd.c,3,4,20,27
scene/2d/line_2d.c,scene/2d/line_2d.c,5,2,13,7,scene/2d/line_2d.c,6,2,13,21
core/string/ustring.c,core/string/ustring.c,4,76,217,80,core/string/ustring.c,7,38,116,161
thirdparty/glslang/glslang/machineindependent/iomapper.c,thirdparty/glslang/glslang/MachineIndependent/iomapper.c,28,80,162,108,thirdparty/glslang/glslang/MachineIndependent/iomapper.c,173,57,155,385
thirdparty/glslang/glslang/machineindependent/preprocessor/ppcontext.c,thirdparty/glslang/glslang/MachineIndependent/preprocessor/PpContext.c,9,0,3,9,thirdparty/glslang/glslang/MachineIndependent/preprocessor/PpContext.c,13,0,3,16
modules/navigation/nav_map.c,modules/navigation/nav_map.c,9,18,75,27,modules/navigation/nav_map.c,17,18,68,103
editor/import/3d/collada.c,editor/import/3d/collada.c,8,115,414,123,editor/import/3d/collada.c,28,115,414,557
modules/godot_physics_3d/godot_collision_object_3d.c,modules/godot_physics_3d/godot_collision_object_3d.c,1,6,11,7,modules/godot_physics_3d/godot_collision_object_3d.c,3,6,11,20
modules/theora/video_stream_theora.c,modules/theora/video_stream_theora.c,10,5,26,15,modules/theora/video_stream_theora.c,12,5,26,43
scene/gui/color_picker.c,scene/gui/color_picker.c,41,44,101,85,scene/gui/color_picker.c,41,44,101,186
modules/jolt_physics/jolt_physics_server_3d.c,modules/jolt_physics/jolt_physics_server_3d.c,3,9,41,12,modules/jolt_physics/jolt_physics_server_3d.c,10,9,41,60
scene/main/canvas_item.c,scene/main/canvas_item.c,11,24,112,35,scene/main/canvas_item.c,11,24,112,147
core/math/vector4.c,core/math/vector4.c,0,0,11,0,core/math/vector4.c,2,0,11,13
thirdparty/meshoptimizer/clusterizer.c,thirdparty/meshoptimizer/clusterizer.c,2,4,35,6,thirdparty/meshoptimizer/clusterizer.c,4,4,35,43
editor/plugins/tiles/tile_atlas_view.c,editor/plugins/tiles/tile_atlas_view.c,10,27,68,37,editor/plugins/tiles/tile_atlas_view.c,10,27,68,105
thirdparty/recastnavigation/recast/source/recastcontour.c,thirdparty/recastnavigation/Recast/Source/RecastContour.c,1,4,35,5,thirdparty/recastnavigation/Recast/Source/RecastContour.c,1,4,35,40
editor/editor_main_screen.c,editor/editor_main_screen.c,12,10,28,22,editor/editor_main_screen.c,12,10,28,50
scene/3d/skeleton_3d.c,scene/3d/skeleton_3d.c,13,26,81,39,scene/3d/skeleton_3d.c,17,26,81,124
platform/android/export/godot_plugin_config.c,platform/android/export/godot_plugin_config.c,3,2,23,5,platform/android/export/godot_plugin_config.c,4,2,23,29
scene/2d/polygon_2d.c,scene/2d/polygon_2d.c,10,7,47,17,scene/2d/polygon_2d.c,13,7,47,67
modules/openxr/editor/openxr_select_interaction_profile_dialog.c,modules/openxr/editor/openxr_select_interaction_profile_dialog.c,13,4,19,17,modules/openxr/editor/openxr_select_interaction_profile_dialog.c,13,4,19,36
thirdparty/astcenc/astcenc_entry.c,thirdparty/astcenc/astcenc_entry.c,3,3,12,6,thirdparty/astcenc/astcenc_entry.c,3,3,12,18
scene/3d/gpu_particles_3d.c,scene/3d/gpu_particles_3d.c,7,10,25,17,scene/3d/gpu_particles_3d.c,11,10,25,46
servers/audio/audio_stream.c,servers/audio/audio_stream.c,19,16,56,35,servers/audio/audio_stream.c,19,16,56,91
core/object/worker_thread_pool.c,core/object/worker_thread_pool.c,6,20,78,26,core/object/worker_thread_pool.c,11,20,78,109
thirdparty/cvtt/convectionkernels_bc67.c,thirdparty/cvtt/ConvectionKernels_BC67.c,4,38,298,42,thirdparty/cvtt/ConvectionKernels_BC67.c,39,38,298,375
scene/main/viewport.c,scene/main/viewport.c,27,79,177,106,scene/main/viewport.c,27,79,177,283
thirdparty/jolt_physics/jolt/skeleton/skeletonmapper.c,thirdparty/jolt_physics/Jolt/Skeleton/SkeletonMapper.c,4,7,21,11,thirdparty/jolt_physics/Jolt/Skeleton/SkeletonMapper.c,11,7,21,39
servers/rendering/renderer_scene_cull.c,servers/rendering/renderer_scene_cull.c,32,163,426,195,servers/rendering/renderer_scene_cull.c,45,163,426,634
thirdparty/icu4c/common/putil.c,thirdparty/icu4c/common/putil.c,0,1,6,1,thirdparty/icu4c/common/putil.c,1,1,6,8
editor/localization_editor.c,editor/localization_editor.c,17,22,59,39,editor/localization_editor.c,17,22,59,98
editor/import/resource_importer_layered_texture.c,editor/import/resource_importer_layered_texture.c,8,15,41,23,editor/import/resource_importer_layered_texture.c,9,15,41,65
editor/editor_about.c,editor/editor_about.c,20,11,19,31,editor/editor_about.c,20,11,19,50
drivers/gles3/rasterizer_gles3.c,drivers/gles3/rasterizer_gles3.c,0,0,4,0,drivers/gles3/rasterizer_gles3.c,3,0,4,7
scene/3d/voxel_gi.c,scene/3d/voxel_gi.c,11,4,31,15,scene/3d/voxel_gi.c,11,4,31,46
thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,11,10,58,21,thirdparty/harfbuzz/src/hb-subset-instancer-iup.c,13,10,58,81
editor/project_manager/project_list.c,editor/project_manager/project_list.c,25,38,78,63,editor/project_manager/project_list.c,25,38,78,141
modules/gdscript/gdscript_byte_codegen.c,modules/gdscript/gdscript_byte_codegen.c,32,75,176,107,modules/gdscript/gdscript_byte_codegen.c,45,75,176,296
thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,71,thirdparty/embree/kernels/bvh/bvh_builder_sah_mb.c,28,43,108,179
modules/lightmapper_rd/lightmapper_rd.c,modules/lightmapper_rd/lightmapper_rd.c,18,87,238,105,modules/lightmapper_rd/lightmapper_rd.c,30,87,238,355
modules/bmp/image_loader_bmp.c,modules/bmp/image_loader_bmp.c,3,3,15,6,modules/bmp/image_loader_bmp.c,4,3,15,22
scene/gui/subviewport_container.c,scene/gui/subviewport_container.c,8,6,15,14,scene/gui/subviewport_container.c,8,6,15,29
modules/raycast/raycast_occlusion_cull.c,modules/raycast/raycast_occlusion_cull.c,3,20,83,23,modules/raycast/raycast_occlusion_cull.c,3,20,83,106
scene/3d/gpu_particles_collision_3d.c,scene/3d/gpu_particles_collision_3d.c,16,10,51,26,scene/3d/gpu_particles_collision_3d.c,16,10,51,77
modules/gdscript/language_server/gdscript_workspace.c,modules/gdscript/language_server/gdscript_workspace.c,14,32,128,46,modules/gdscript/language_server/gdscript_workspace.c,14,32,128,174
scene/3d/soft_body_3d.c,scene/3d/soft_body_3d.c,9,17,57,26,scene/3d/soft_body_3d.c,9,17,57,83
core/variant/variant.c,core/variant/variant.c,1,40,116,41,core/variant/variant.c,2,40,115,157
core/crypto/crypto.c,core/crypto/crypto.c,6,0,11,6,core/crypto/crypto.c,9,0,11,20
editor/gui/editor_toaster.c,editor/gui/editor_toaster.c,10,12,34,22,editor/gui/editor_toaster.c,10,12,34,56
thirdparty/glslang/glslang/machineindependent/versions.c,thirdparty/glslang/glslang/MachineIndependent/Versions.c,5,4,32,9,thirdparty/glslang/glslang/MachineIndependent/Versions.c,8,4,32,44
thirdparty/astcenc/astcenc_symbolic_physical.c,thirdparty/astcenc/astcenc_symbolic_physical.c,0,0,21,0,thirdparty/astcenc/astcenc_symbolic_physical.c,1,0,21,22
thirdparty/ufbx/ufbx.c,thirdparty/ufbx/ufbx.c,214,159,487,373,thirdparty/ufbx/ufbx.c,217,137,395,749
thirdparty/enet/enet_godot.c,thirdparty/enet/enet_godot.c,1,2,18,3,thirdparty/enet/enet_godot.c,2,2,18,22
editor/editor_native_shader_source_visualizer.c,editor/editor_native_shader_source_visualizer.c,10,3,7,13,editor/editor_native_shader_source_visualizer.c,10,3,7,20
servers/rendering/renderer_rd/effects/fsr2.c,servers/rendering/renderer_rd/effects/fsr2.c,61,10,60,71,servers/rendering/renderer_rd/effects/fsr2.c,66,10,60,136
thirdparty/harfbuzz/src/hb-shape-plan.c,thirdparty/harfbuzz/src/hb-shape-plan.c,1,9,19,10,thirdparty/harfbuzz/src/hb-shape-plan.c,3,9,19,31
thirdparty/zstd/compress/zstd_opt.c,thirdparty/zstd/compress/zstd_opt.c,134,15,73,149,thirdparty/zstd/compress/zstd_opt.c,136,15,73,224
scene/gui/base_button.c,scene/gui/base_button.c,10,10,27,20,scene/gui/base_button.c,10,10,27,47
thirdparty/jolt_physics/jolt/physics/collision/castconvexvstriangles.c,thirdparty/jolt_physics/Jolt/Physics/Collision/CastConvexVsTriangles.c,0,4,18,4,thirdparty/jolt_physics/Jolt/Physics/Collision/CastConvexVsTriangles.c,2,4,18,24
thirdparty/libvorbis/bitrate.c,thirdparty/libvorbis/bitrate.c,0,0,5,0,thirdparty/libvorbis/bitrate.c,2,0,5,7
drivers/gles3/storage/mesh_storage.c,drivers/gles3/storage/mesh_storage.c,6,84,146,90,drivers/gles3/storage/mesh_storage.c,23,84,145,252
scene/gui/menu_bar.c,scene/gui/menu_bar.c,10,15,32,25,scene/gui/menu_bar.c,10,15,31,56
thirdparty/openxr/src/loader/manifest_file.c,thirdparty/openxr/src/loader/manifest_file.c,5,7,61,12,thirdparty/openxr/src/loader/manifest_file.c,12,7,61,80
thirdparty/icu4c/common/emojiprops.c,thirdparty/icu4c/common/emojiprops.c,0,2,3,2,thirdparty/icu4c/common/emojiprops.c,1,2,3,6
scene/gui/file_dialog.c,scene/gui/file_dialog.c,21,40,91,61,scene/gui/file_dialog.c,21,40,91,152
thirdparty/astcenc/astcenc_compress_symbolic.c,thirdparty/astcenc/astcenc_compress_symbolic.c,3,2,25,5,thirdparty/astcenc/astcenc_compress_symbolic.c,4,2,24,30
editor/gui/scene_tree_editor.c,editor/gui/scene_tree_editor.c,25,63,112,88,editor/gui/scene_tree_editor.c,25,63,112,200
editor/plugins/texture_editor_plugin.c,editor/plugins/texture_editor_plugin.c,15,2,13,17,editor/plugins/texture_editor_plugin.c,15,2,13,30
editor/import/resource_importer_texture.c,editor/import/resource_importer_texture.c,9,4,32,13,editor/import/resource_importer_texture.c,10,4,32,46
servers/text_server.c,servers/text_server.c,9,17,189,26,servers/text_server.c,9,18,185,212
thirdparty/harfbuzz/src/hb-aat-layout.c,thirdparty/harfbuzz/src/hb-aat-layout.c,20,96,201,116,thirdparty/harfbuzz/src/hb-aat-layout.c,25,96,201,322
thirdparty/embree/kernels/bvh/bvh_intersector1_bvh4.c,thirdparty/embree/kernels/bvh/bvh_intersector1_bvh4.c,127,38,61,165,thirdparty/embree/kernels/bvh/bvh_intersector1_bvh4.c,136,38,61,235
scene/gui/view_panner.c,scene/gui/view_panner.c,6,0,8,6,scene/gui/view_panner.c,7,0,8,15
scene/2d/gpu_particles_2d.c,scene/2d/gpu_particles_2d.c,5,6,21,11,scene/2d/gpu_particles_2d.c,7,6,21,34
editor/debugger/editor_expression_evaluator.c,editor/debugger/editor_expression_evaluator.c,10,10,22,20,editor/debugger/editor_expression_evaluator.c,10,10,22,42
thirdparty/harfbuzz/src/hb-set.c,thirdparty/harfbuzz/src/hb-set.c,6,22,90,28,thirdparty/harfbuzz/src/hb-set.c,17,22,90,129
thirdparty/recastnavigation/recast/source/recastmesh.c,thirdparty/recastnavigation/Recast/Source/RecastMesh.c,0,7,67,7,thirdparty/recastnavigation/Recast/Source/RecastMesh.c,0,7,67,74
scene/2d/canvas_modulate.c,scene/2d/canvas_modulate.c,5,2,11,7,scene/2d/canvas_modulate.c,6,2,11,19
thirdparty/jolt_physics/jolt/physics/collision/shape/meshshape.c,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MeshShape.c,29,22,131,51,thirdparty/jolt_physics/Jolt/Physics/Collision/Shape/MeshShape.c,31,22,131,184
thirdparty/harfbuzz/src/hb-ot-shaper-arabic.c,thirdparty/harfbuzz/src/hb-ot-shaper-arabic.c,18,56,178,74,thirdparty/harfbuzz/src/hb-ot-shaper-arabic.c,20,55,175,250
core/debugger/remote_debugger.c,core/debugger/remote_debugger.c,7,16,51,23,core/debugger/remote_debugger.c,8,16,51,75
editor/plugins/tiles/tile_set_atlas_source_editor.c,editor/plugins/tiles/tile_set_atlas_source_editor.c,44,71,237,115,editor/plugins/tiles/tile_set_atlas_source_editor.c,44,71,237,352
drivers/gles3/storage/render_scene_buffers_gles3.c,drivers/gles3/storage/render_scene_buffers_gles3.c,4,4,24,8,drivers/gles3/storage/render_scene_buffers_gles3.c,5,4,24,33
scene/resources/compressed_texture.c,scene/resources/compressed_texture.c,16,2,15,18,scene/resources/compressed_texture.c,19,2,15,36
thirdparty/embree/kernels/bvh/bvh.c,thirdparty/embree/kernels/bvh/bvh.c,2,31,75,33,thirdparty/embree/kernels/bvh/bvh.c,2,31,75,108
thirdparty/libpng/pngtrans.c,thirdparty/libpng/pngtrans.c,0,0,17,0,thirdparty/libpng/pngtrans.c,1,0,17,18
core/io/marshalls.c,core/io/marshalls.c,4,8,290,12,core/io/marshalls.c,4,8,290,302
editor/history_dock.c,editor/history_dock.c,13,15,26,28,editor/history_dock.c,13,15,26,54
servers/xr/xr_interface_extension.c,servers/xr/xr_interface_extension.c,4,3,26,7,servers/xr/xr_interface_extension.c,12,3,26,41
platform/linuxbsd/x11/display_server_x11.c,platform/linuxbsd/x11/display_server_x11.c,42,77,181,119,platform/linuxbsd/x11/display_server_x11.c,56,77,181,314
scene/gui/flow_container.c,scene/gui/flow_container.c,6,4,22,10,scene/gui/flow_container.c,8,4,22,34
thirdparty/misc/polypartition.c,thirdparty/misc/polypartition.c,10,40,116,50,thirdparty/misc/polypartition.c,11,40,116,167
thirdparty/wslay/wslay_event.c,thirdparty/wslay/wslay_event.c,0,9,4,9,thirdparty/wslay/wslay_event.c,4,9,4,17
editor/plugins/color_channel_selector.c,editor/plugins/color_channel_selector.c,13,2,21,15,editor/plugins/color_channel_selector.c,13,2,21,36
modules/enet/enet_multiplayer_peer.c,modules/enet/enet_multiplayer_peer.c,11,14,36,25,modules/enet/enet_multiplayer_peer.c,11,14,36,61
thirdparty/graphite/src/slot.c,thirdparty/graphite/src/Slot.c,2,2,7,4,thirdparty/graphite/src/Slot.c,3,2,7,12
thirdparty/jolt_physics/jolt/physics/constraints/sliderconstraint.c,thirdparty/jolt_physics/Jolt/Physics/Constraints/SliderConstraint.c,0,0,4,0,thirdparty/jolt_physics/Jolt/Physics/Constraints/SliderConstraint.c,0,0,4,4
modules/godot_physics_3d/godot_soft_body_3d.c,modules/godot_physics_3d/godot_soft_body_3d.c,12,12,68,24,modules/godot_physics_3d/godot_soft_body_3d.c,16,12,68,96
thirdparty/icu4c/common/uloc_keytype.c,thirdparty/icu4c/common/uloc_keytype.c,0,7,11,7,thirdparty/icu4c/common/uloc_keytype.c,1,7,11,19
drivers/egl/egl_manager.c,drivers/egl/egl_manager.c,0,1,10,1,drivers/egl/egl_manager.c,1,1,10,12
scene/3d/physics/collision_polygon_3d.c,scene/3d/physics/collision_polygon_3d.c,4,2,12,6,scene/3d/physics/collision_polygon_3d.c,5,2,12,19
